phone_names,phone_ids,phone_money,phone_chips,phone_memories,phone_screens,camera_selfies
iPhone 15 Pro Max 256GB ,(No.00904369),36490000,Apple A17 Pro,256,6.7 inch,12.0 MP
Samsung Galaxy S22 5G 128GB ,(No.00824253),11990000,Snapdragon 8 Gen 1,128,6.1 inch,10.0 MP
OPPO Reno8 T 4G 256GB ,(No.00852468),7290000,MediaTek Helio G99,256,6.4 inch,32.0 MP
Honor X8A 8GB-128GB ,(No.00882714),3990000,MediaTek Helio G88,128,6.7 inch,16.0 MP
Samsung Galaxy A05s 128GB ,(No.00904610),3990000,Snapdragon 680,128,6.7 inch,13.0 MP
OPPO Reno10 5G 256GB ,(No.00884716),10490000,MediaTek Dimensity 7050 5G,256,6.7 inch,32.0 MP
Samsung Galaxy Z Flip4 5G 128GB ,(No.00824372),12990000,Snapdragon 8+ Gen 1,128,6.7 inch,10.0 MP
Samsung Galaxy A34 5G ,(No.00862852),6990000,MediaTek Dimensity 1080,128,6.6 inch,13.0 MP
realme C55 6GB-128GB ,(No.00863714),4390000,MediaTek Helio G88,128,6.7 inch,8.0 MP
OPPO A58 6GB-128GB ,(No.00890561),4690000,Helio G85,128,6.7 inch,8.0 MP
Samsung Galaxy Z Flip5 5G 256GB ,(No.00888204),17990000,Snapdragon 8 Gen 2,256,6.7 inch,10.0 MP
Xiaomi 13 Lite 8GB-128GB ,(No.00860935),7990000,Snapdragon 7 Gen 1,128,6.55 inch,32.0 MP + 8.0 MP
OPPO A55 4GB-64GB ,(No.00800921),3390000,Helio G35,64,6.5 inch,16.0 MP
OPPO A17k 3GB-64GB ,(No.00843814),2990000,Helio G35,64,6.56 inch,5.0 MP
Samsung Galaxy A14 4G ,(No.00862842),3590000,Exynos 850,128,6.6 inch,13.0 MP
Samsung Galaxy A04 ,(No.00839717),2390000,Helio P35,32,6.5 inch,5.0 MP
Xiaomi Redmi 12C 4GB - 64GB ,(No.00863021),2590000,Helio G85,64,6.71 inch,5.0 MP + 5.0 MP
Xiaomi Redmi 10A 3GB-64GB ,(No.00854265),2290000,Helio G25,64,6.53 inch,5.0 MP
realme C51 4GB-128GB ,(No.00899557),3790000,Unisoc T612,128,6.73 inch,5.0 MP
Honor X7A 6GB-128GB ,(No.00882958),3990000,MediaTek Helio G37 (MT6765H),128,6.7 inch,8.0 MP
Honor X6A 4GB-128GB ,(No.00900094),3290000,MediaTek Helio G36,128,6.56 inch,5.0 MP
Asus ROG Phone 7 16GB-512GB ,(No.00872595),23990000,Snapdragon 8 Gen 2,512,6.67 inch,32.0 MP
Asus ROG Phone 6 12GB-256GB ,(No.00825075),14990000,Snapdragon 8+ Gen 1,256,6.78 inch,12.0 MP
Vivo Y22s 8GB-128GB ,(No.00826660),4790000,Snapdragon 680,128,6.55 inch,8.0 MP
Vivo Y16 4GB-128GB ,(No.00828242),3790000,Helio P35,128,6.51 inch,5.0 MP
Samsung Galaxy Z Fold4 5G 256GB ,(No.00872210),21990000,Snapdragon 8+ Gen 1,256,7.6 inch,10.0 MP + 4.0 MP
iPhone 12 64GB ,(No.00719655),13490000,Apple A14 Bionic,64,6.1 inch,12.0 MP
iPhone 11 64GB ,(No.00720580),10190000,Apple A13 Bionic,64,6.1 inch,12.0 MP
Samsung Galaxy A54 5G 128GB ,(No.00862859),8490000,Exynos 1380,128,6.4 inch,32.0 MP
Samsung Galaxy A53 5G 256GB ,(No.00800494),7990000,Exynos 1280,256,6.5 inch,32.0 MP
OPPO A78 8GB-256GB ,(No.00884863),6490000,Snapdragon 680,256,6.4 inch,8.0 MP
OPPO A77s 8GB-128GB ,(No.00834679),5090000,Snapdragon 680,128,6.56 inch,8.0 MP
Samsung Galaxy A14 5G ,(No.00856007),4190000,MediaTek MT6883V,128,6.6 inch,13.0 MP
Xiaomi Redmi Note 11 4GB - 128GB ,(No.00792821),3990000,Snapdragon 680,128,6.43 inch,13.0 MP
OPPO A57 4GB-128GB ,(No.00824271),3790000,Helio G35,128,6.56 inch,8.0 MP
Xiaomi Redmi 10 2022 4GB-128GB ,(No.00812809),3290000,MediaTek Helio G88,128,6.5 inch,8.0 MP
Samsung Galaxy A04s ,(No.00833410),3190000,Exynos 850,64,6.5 inch,5.0 MP
Vivo Y15s 3GB - 32GB ,(No.00779950),2390000,Helio P35,32,6.51 inch,8.0 MP
Samsung Galaxy Z Fold5 5G 256GB ,(No.00888236),31990000,Snapdragon 8 Gen 2,256,7.6 inch,10.0 MP + 4.0 MP
iPhone 15 Pro 128GB ,(No.00904305),29490000,Apple A17 Pro,128,6.1 inch,12.0 MP
iPhone 14 Pro Max 128GB ,(No.00832908),25990000,Apple A16 Bionic,128,6.7 inch,12.0 MP
iPhone 15 Plus 128GB ,(No.00904261),26490000,Apple A16 Bionic,128,6.7 inch,12.0 MP
iPhone 14 Pro 128GB ,(No.00832892),23790000,Apple A16 Bionic,128,6.1 inch,12.0 MP
iPhone 15 128GB ,(No.00904213),23490000,Apple A16 Bionic,128,6.1 inch,12.0 MP
iPhone 14 Plus 128GB ,(No.00832876),21290000,Apple A15 Bionic,128,6.7 inch,12.0 MP
Samsung Galaxy S23 Plus 5G 256GB ,(No.00856562),19990000,Snapdragon 8 Gen 2,256,6.6 inch,12.0 MP
OPPO Find N2 Flip ,(No.00863707),19990000,MediaTek Dimensity 9000+ 5G,256,6.8 inch,32.0 MP
Asus ROG 6 DIABLO 16GB-512GB ,(No.00852562),19990000,Snapdragon 8+ Gen 1,512,6.78 inch,12.0 MP
Samsung Galaxy S23 5G 256GB ,(No.00856552),18990000,Snapdragon 8 Gen 2,256,6.1 inch,12.0 MP
iPhone 14 128GB ,(No.00832861),18790000,Apple A15 Bionic,128,6.1 inch,12.0 MP
